run_index,alice_label,bob_label,batch_size,n_qubits,status,latency_s,session_id,n_delivered,n_sifted,qber,key_final,error_message,progress_pct,phase_label,loss_rate,interceptor_label,retry_enabled,qkdl_url,intercepted,run_type,timestamp
1,alice-1,bob-1,10,32,done,5.059,23e3ac61-e8ab-44d2-8f75-c68fceb26f78,32,17,0.0,11010011000110,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-30T18:32:34.088455
2,alice-1,bob-1,10,64,done,4.116,d2477862-d00e-4847-a88a-cacbe3d55c7c,64,31,0.0,0111011000111110010011101,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-30T18:32:44.270193
3,alice-1,bob-1,20,64,done,4.059,a09535fb-9a1e-482c-99cd-d0aad6b25093,64,31,0.0,1101000000010111101000110,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-30T18:32:52.424277
4,alice-1,bob-1,10,128,done,4.226,ddb35b5d-6b8a-479c-9cd0-0240721d0400,128,57,0.0,0111111111110001111010101011100101110111101011,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-30T18:33:02.593624
5,alice-1,bob-1,20,128,done,4.232,e5b35538-a4aa-4d28-9608-355cbcd7d542,128,67,0.0,111010011101001001100100010001011010000001011011110111,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-30T18:33:12.835066
6,alice-1,bob-1,10,200,done,4.419,6a7e75c6-854c-48d5-af14-ed75f9671d05,200,103,0.0,10100000000010110100000010000000001001011100010110010111011100100011111101001110011,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-30T18:33:23.009266
7,alice-1,bob-1,20,200,done,4.161,58a26fdb-20ab-4c35-96c6-52943e178195,200,117,0.0,1011011001000100010010101000100100010100000101000100100101011010011101111011001000100001101100,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-30T18:33:33.217021
8,alice-1,bob-1,10,1024,done,7.542,7470671d-5973-45b0-a6c6-1a085fb9cc93,1024,510,0.0,001011000101100111100101111010001100000100111111101010100110110100010010110011111100100101100101000110101001010001101001000001101010111101011110100111100111101001001011010101111100010010111100000000101110111001011010100001001000100110001000001101010000001010011011100001000110010101111000011000000011111000101000000101001110001010011001111110000001100001110111110000110110100001000101000110000110001110010110,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-30T18:33:45.409969
9,alice-1,bob-1,20,1024,done,6.771,96c63c8f-1e7e-4be9-950c-2f58913eb857,1024,495,0.0,000101101011011011010110111011110110000001101110000001010011010110110110100110110010100001110110000111001111010101001101100100111110011111011100010010001110000101110100111001110000010010010110001110110100110110110011010101110010000100000010101110000000100000001010111001111101101101110001101001001000101011000100011100000111010101110110001101111000100111011010000110100001010111101001011111001011,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-30T18:33:57.620588
10,alice-1,bob-1,10,2048,done,11.9,0e1296c0-636f-48e5-bcf1-ba8c365f52b8,2048,1012,0.0,011010100100010000000101000111011001101101010010010000111011011100010110111000100101101111000000000110111001000101111000100001101011111101111001001101100110011011100111010100101011101010100010110010000010101011110000011011101001110011001111001111010001010101111010100100110010110000100100101101011010000100110110000000110111101100010011100011111011001011100100110011110110111010100010101101011101000011010000111011110010011101111111110000001000001010010110000111010010100000011011111010001001001011101000010101100000111101101001101001100001010111110111101110111100010000000010000110001010011111100110011000011110000101000111110001100010100010011100101011110110110111000100111100011000000011010100110000101000100001111110001100100101110101001010011110000101001001001000111100101100000110000010101100100010110010,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-30T18:34:13.880432
11,alice-1,bob-1,20,2048,done,11.651,a92146cf-c89e-40b3-ad9e-7941e91914fa,2048,1008,0.0,011001111111100011011010101111001000011000111001011110011110110101101101110010001000000000010010000001000010010111111000001001110000111011010011100100011011011111111001001110100000000110010100000000010100000100100001110011111111111001111000100000101101011101001001010110001110011101101110001000100110101010101101010001110110000001111100001011111100011001010101000010110001110101000111011100011110111110001011110001000111001011001100000100010011101111000011000111101111000010111011000111100010111101001000101010100000011001100001011001111110111000110000110011110010001000100111101000110000101100010011001010001001010000100011011001010110010111011011100110101010000100010001000000101011001010101001010001010001000100110111110111001010111110111101101111101011111000111111100010000001001111101111010000011101010,,100.0,Key generated,0.0,,False,http://localhost:8003,False,sequential,2026-05-30T18:34:30.175753
